@relation 20160416_learningdata

@attribute STATION_LATITUDE numeric
@attribute STATION_LONGITUDE numeric
@attribute RAIN_LAST10MIN numeric
@attribute TEMPERATURE_TC numeric
@attribute HUMIDITY numeric
@attribute PRESSURE_SURFACE numeric
@attribute TIMEOBSERVATION {'2016-04-16 18:00','2016-04-16 18:10','2016-04-16 18:20','2016-04-16 18:30','2016-04-16 18:40','2016-04-16 18:50','2016-04-16 19:00','2016-04-16 19:10','2016-04-16 19:20','2016-04-16 19:30','2016-04-16 19:40','2016-04-16 19:50','2016-04-16 20:00','2016-04-16 20:10','2016-04-16 20:20','2016-04-16 20:30','2016-04-16 20:40','2016-04-16 20:50','2016-04-16 21:00'}

@data
37.483164,127.060325,0,17.4,67.2,995,'2016-04-16 18:00'
37.479133,127.044558,0,17.1,68.3,996.8,'2016-04-16 18:00'
37.51625,127.035944,0.1,17.5,61.1,991.7,'2016-04-16 18:00'
37.511179,127.024231,0,17.4,64.2,994.5,'2016-04-16 18:00'
37.503341,127.058634,0.1,17.3,57,994.4,'2016-04-16 18:00'
37.503508,127.066733,0.1,17,59.2,996,'2016-04-16 18:00'
37.495961,127.052911,0.1,17.2,62.6,996.4,'2016-04-16 18:00'
37.490014,127.034745,0.2,16.6,65.5,993.6,'2016-04-16 18:00'
37.510394,127.057688,0,18,59.6,995.8,'2016-04-16 18:00'
37.512235,127.053069,0.1,17.9,54.5,995.9,'2016-04-16 18:00'
37.51865,127.050708,0,17.4,62.4,995.5,'2016-04-16 18:00'
37.463611,127.105563,0,17.1,69.2,998.2,'2016-04-16 18:00'
37.522613,127.020111,0,17.5,58.9,996.2,'2016-04-16 18:00'
37.522181,127.0331,0,17.7,61.2,995.4,'2016-04-16 18:00'
37.501948,127.041959,0.1,17.2,65.1,990,'2016-04-16 18:00'
37.497249,127.044466,0.1,17.3,64.7,993.2,'2016-04-16 18:00'
37.493564,127.030156,0.1,17,62.9,992.7,'2016-04-16 18:00'
37.489451,127.082504,0.1,17.3,62.2,996.5,'2016-04-16 18:00'
37.521031,127.057289,0.1,17.5,63.1,993.6,'2016-04-16 18:00'
37.537886,127.139658,0,17.7,58.5,995.4,'2016-04-16 18:00'
37.552512,127.153629,0,17.2,56.1,994.1,'2016-04-16 18:00'
37.548486,127.172672,0,17.8,58.6,996.8,'2016-04-16 18:00'
37.529878,127.132269,0,17.8,60.3,996.8,'2016-04-16 18:00'
37.522322,127.132853,0,17.7,62.1,996.9,'2016-04-16 18:00'
37.554933,127.134556,0,17.7,58.5,995,'2016-04-16 18:00'
37.549028,127.126694,0,18.1,60.5,996.7,'2016-04-16 18:00'
37.540711,127.128275,0,17.8,58.2,995.9,'2016-04-16 18:00'
37.544322,127.142105,0,17.6,59,995.1,'2016-04-16 18:00'
37.625906,127.017525,0,17.4,63.9,992.9,'2016-04-16 18:00'
37.611531,127.022375,0.1,17.7,61.3,991.9,'2016-04-16 18:00'
37.620361,127.021356,0,17.8,62.5,993.5,'2016-04-16 18:00'
37.620398,127.013161,0,17.5,66.8,990.2,'2016-04-16 18:00'
37.634583,127.022319,0,17.5,63,992.8,'2016-04-16 18:00'
37.662775,127.013261,0.1,14.3,93,991.5,'2016-04-16 18:00'
37.563444,126.852594,0.1,17.1,68,995.2,'2016-04-16 18:00'
37.561192,126.797658,0.2,16.9,70.7,996.7,'2016-04-16 18:00'
37.558228,126.837694,0.3,17,68.2,996,'2016-04-16 18:00'
37.552722,126.836778,0.2,16.7,70.8,996.9,'2016-04-16 18:00'
37.562389,126.807753,0.2,16.3,70.9,995.7,'2016-04-16 18:00'
37.553942,126.819008,0.2,17,67.5,995.3,'2016-04-16 18:00'
37.553639,126.851456,0.1,17.1,67.3,995.5,'2016-04-16 18:00'
37.530611,126.849314,0.2,17.2,65.7,996.4,'2016-04-16 18:00'
37.541233,126.839933,0.2,17.2,62.3,996.1,'2016-04-16 18:00'
37.528837,126.853323,0.1,17.6,63.8,998.7,'2016-04-16 18:00'
37.547894,126.846547,0.1,17.1,69,995.4,'2016-04-16 18:00'
37.4625,126.918333,0.3,16.6,64.4,991.8,'2016-04-16 18:00'
37.491944,126.925556,0.2,17.1,65.5,992.8,'2016-04-16 18:00'
37.474611,126.952621,0.2,16.1,71.1,991,'2016-04-16 18:00'
37.476305,126.966442,0.1,17.4,69,991.9,'2016-04-16 18:00'
37.481511,126.953708,0.1,17.2,66.4,993.5,'2016-04-16 18:00'
37.477742,126.933586,0.2,16.9,67.4,994.3,'2016-04-16 18:00'
37.482606,126.928461,0.2,16.5,62.9,992.9,'2016-04-16 18:00'
37.457931,126.953706,0.3,15.1,73.3,982.4,'2016-04-16 18:00'
37.4869,126.9137,0.1,17.2,67.9,996.4,'2016-04-16 18:00'
37.485337,126.936786,0.1,17.5,66,996.3,'2016-04-16 18:00'
37.481998,126.942726,0.2,16.8,70.5,993.8,'2016-04-16 18:00'
37.549106,127.108247,0,17.7,61.3,995.2,'2016-04-16 18:00'
37.551139,127.069451,0,18,56.9,997.3,'2016-04-16 18:00'
37.552906,127.088533,0.1,17.9,59.6,994.9,'2016-04-16 18:00'
37.545582,127.076951,0,17.7,58.9,995.3,'2016-04-16 18:00'
37.536181,127.083153,0,17.5,58.5,994.7,'2016-04-16 18:00'
37.5315,127.074967,0,18.1,60.3,996.9,'2016-04-16 18:00'
37.533092,127.085381,0,17.8,54.1,995.9,'2016-04-16 18:00'
37.559889,127.074333,0,17.9,58.1,996.6,'2016-04-16 18:00'
37.561742,127.082347,0,17.6,58.8,996.8,'2016-04-16 18:00'
37.571225,127.083503,0,17.7,56.6,996.7,'2016-04-16 18:00'
37.486087,126.855542,0.2,16.9,70.5,997.4,'2016-04-16 18:00'
37.497331,126.863114,0.2,17,71.4,994.1,'2016-04-16 18:00'
37.484131,126.894228,0.2,16.4,71.4,991.8,'2016-04-16 18:00'
37.503276,126.881097,0.2,17.3,64.6,994.9,'2016-04-16 18:00'
37.499453,126.87278,0.2,17.2,67.9,995.6,'2016-04-16 18:00'
37.496611,126.845219,0.4,17.2,63.5,993.9,'2016-04-16 18:00'
37.491134,126.825004,0.4,15.9,74.6,995.9,'2016-04-16 18:00'
37.466264,126.898322,0.3,16.9,64,995.3,'2016-04-16 18:00'
37.475989,126.899004,0.1,16.9,67.5,995.2,'2016-04-16 18:00'
37.439578,126.902942,0.3,16.7,66.7,997.3,'2016-04-16 18:00'
37.451767,126.908242,0.1,15.6,63.4,995.9,'2016-04-16 18:00'
37.451758,126.902204,0.3,16.8,69.3,995.6,'2016-04-16 18:00'
37.618769,127.077606,0,16.8,53.1,994.9,'2016-04-16 18:00'
37.627186,127.079111,0.2,17.4,63.2,994.2,'2016-04-16 18:00'
37.628212,127.071311,0.1,17.8,54.2,996.2,'2016-04-16 18:00'
37.668503,127.079253,0.1,15.6,85.9,992.5,'2016-04-16 18:00'
37.663842,127.068428,0,16.5,62.3,992.7,'2016-04-16 18:00'
37.666669,127.056946,0.1,17,75.4,995.2,'2016-04-16 18:00'
37.621697,127.059531,0,17.9,51.4,995.6,'2016-04-16 18:00'
37.626761,127.051161,0,17.4,58.3,993.7,'2016-04-16 18:00'
37.629075,127.057581,0,17.3,60.7,994.8,'2016-04-16 18:00'
37.63925,127.075092,0.1,16.8,63.8,992.3,'2016-04-16 18:00'
37.685606,127.045708,0.5,16.4,90.3,994.6,'2016-04-16 18:00'
37.664792,127.035458,0.1,17.4,67.1,995.1,'2016-04-16 18:00'
37.650597,127.036258,0.1,17.1,58.5,994.2,'2016-04-16 18:00'
37.637661,127.038278,0.1,17.6,63,996.2,'2016-04-16 18:00'
37.653208,127.051853,0,17.1,64.2,992.4,'2016-04-16 18:00'
37.651936,127.045694,0,16.8,68.4,994.5,'2016-04-16 18:00'
37.578084,127.030063,0,18.1,58.2,997.6,'2016-04-16 18:00'
37.574625,127.037928,0.1,17.8,58.1,997.1,'2016-04-16 18:00'
37.579194,127.074069,0.1,17.5,51.8,997,'2016-04-16 18:00'
37.561948,127.065292,0.1,18,58.6,996.6,'2016-04-16 18:00'
37.58395,127.053528,0,17.3,60.1,994.2,'2016-04-16 18:00'
37.578301,127.057063,0.1,18.1,58.6,997.3,'2016-04-16 18:00'
37.586036,127.037008,0,17,59.5,997.1,'2016-04-16 18:00'
37.591639,127.049094,0,17.7,58.8,995.4,'2016-04-16 18:00'
37.514057,126.944802,0.1,17.2,64.9,995,'2016-04-16 18:00'
37.499444,126.927778,0.1,17.2,67.5,994.3,'2016-04-16 18:00'
37.512486,126.954869,0.1,17.5,64.7,997,'2016-04-16 18:00'
37.4775,126.981111,0.1,17,64.6,996.2,'2016-04-16 18:00'
37.503156,126.947279,0.1,17.2,48.1,996,'2016-04-16 18:00'
37.494722,126.958333,0.2,16.4,66.7,989.9,'2016-04-16 18:00'
37.556583,126.945156,0,17.1,61.4,991.4,'2016-04-16 18:00'
37.558053,126.904903,0,17.5,61.4,997,'2016-04-16 18:00'
37.550808,126.920319,0,17.6,60.4,996.6,'2016-04-16 18:00'
37.554506,126.915958,0.1,17.9,62.8,996.8,'2016-04-16 18:00'
37.543358,126.953073,0,17.1,63.8,987.9,'2016-04-16 18:00'
37.550261,126.932764,0,17.5,61.6,996,'2016-04-16 18:00'
37.575081,126.918111,0.1,17.4,65,995.4,'2016-04-16 18:00'
37.566139,126.946194,0.1,17.3,62.9,992.8,'2016-04-16 18:00'
37.583561,126.911161,0.1,16.4,64,995.3,'2016-04-16 18:00'
37.558686,126.960086,0.1,17.1,66.9,992.7,'2016-04-16 18:00'
37.577356,126.935451,0.1,17,66.6,994.5,'2016-04-16 18:00'
37.565566,126.929192,0.1,17.4,62.2,995,'2016-04-16 18:00'
37.555714,126.937286,0,17.1,58.1,992.6,'2016-04-16 18:00'
37.582003,126.926189,0.1,16.8,61.7,994.8,'2016-04-16 18:00'
37.591275,126.940478,0.1,17.6,62.1,993,'2016-04-16 18:00'
37.596586,126.948328,0,17,65.2,994.8,'2016-04-16 18:00'
37.586124,126.946416,0.1,17.6,62.3,992.2,'2016-04-16 18:00'
37.464272,127.086556,0.1,16.7,64.7,993.6,'2016-04-16 18:00'
37.510364,127.020164,0.1,17.4,63.9,995.7,'2016-04-16 18:00'
37.503903,127.019176,0.1,17.9,62.1,997.7,'2016-04-16 18:00'
37.502211,126.986608,0.1,16.8,67.3,995.6,'2016-04-16 18:00'
37.489332,126.991997,0.1,16.5,63.8,996.1,'2016-04-16 18:00'
37.486489,127.020656,0,16.9,66.6,992,'2016-04-16 18:00'
37.480622,127.012375,0.1,16.5,67.5,989.3,'2016-04-16 18:00'
37.483297,127.0037,0,17.1,66.3,993.3,'2016-04-16 18:00'
37.485357,127.012546,0.1,17.3,63.8,992.6,'2016-04-16 18:00'
37.462365,127.034837,0,16.5,71.5,993.5,'2016-04-16 18:00'
37.466331,127.0429,0.2,17.1,65.5,995.5,'2016-04-16 18:00'
37.507286,127.007289,0.1,17.1,61.3,997.8,'2016-04-16 18:00'
37.547972,127.020461,0.1,17.7,59.7,995,'2016-04-16 18:00'
37.565892,127.042756,0,17.7,59.9,995.1,'2016-04-16 18:00'
37.548328,127.045244,0,17.7,60.2,995.3,'2016-04-16 18:00'
37.537658,127.045692,0.1,18.2,60.8,998.3,'2016-04-16 18:00'
37.538931,127.055356,0,18.1,59.4,997.2,'2016-04-16 18:00'
37.549769,127.056286,0.1,17.1,59.2,995.2,'2016-04-16 18:00'
37.541086,127.017361,0,17.4,63.3,994.2,'2016-04-16 18:00'
37.565111,127.054242,0,17.7,59.4,994.6,'2016-04-16 18:00'
37.558017,127.038722,0,17.6,61.5,995.6,'2016-04-16 18:00'
37.610769,127.018242,0,17,60.8,992.3,'2016-04-16 18:00'
37.596036,127.015711,0.1,17.7,59.7,994.5,'2016-04-16 18:00'
37.582833,127.021076,0,18,58,995.2,'2016-04-16 18:00'
37.588428,127.017825,0,17.2,60.4,994.8,'2016-04-16 18:00'
37.610888,127.057862,0.1,18,57.4,996.4,'2016-04-16 18:00'
37.605328,127.062172,0,18,56.8,997.1,'2016-04-16 18:00'
37.593404,127.001658,0.1,17.6,62.6,994.2,'2016-04-16 18:00'
37.618316,127.046585,0,17.1,57.7,996.5,'2016-04-16 18:00'
37.604611,127.012025,0,17.4,60.8,993.5,'2016-04-16 18:00'
37.610557,127.005001,0.1,17.3,59.9,990.3,'2016-04-16 18:00'
37.598181,127.035231,0.1,17,60.3,996.5,'2016-04-16 18:00'
37.497364,127.135536,0,16.2,64.2,994.7,'2016-04-16 18:00'
37.495511,127.131361,0,16.9,64.5,994.5,'2016-04-16 18:00'
37.498111,127.146322,0.1,17.7,63.4,996.4,'2016-04-16 18:00'
37.488092,127.131608,0,17,65.6,995.1,'2016-04-16 18:00'
37.491112,127.115002,0.1,17.6,63.5,996.6,'2016-04-16 18:00'
37.479783,127.126178,0.1,17.6,62,996.7,'2016-04-16 18:00'
37.513708,127.122186,0,17.3,61.6,996.6,'2016-04-16 18:00'
37.516906,127.113371,0,17.4,62,991.1,'2016-04-16 18:00'
37.515394,127.107364,0,17.6,60.5,991.9,'2016-04-16 18:00'
37.503189,127.093164,0,17.6,63.8,996.2,'2016-04-16 18:00'
37.498634,127.099726,0,17.7,63.3,997.4,'2016-04-16 18:00'
37.506636,127.106444,0.1,17.5,60.6,996.8,'2016-04-16 18:00'
37.505994,127.132253,0,17.7,63.1,994.6,'2016-04-16 18:00'
37.511347,127.081628,0,17.6,57.8,996.5,'2016-04-16 18:00'
37.505333,127.085167,0,18,59.3,997.6,'2016-04-16 18:00'
37.537797,126.872523,0,16.8,71,997.2,'2016-04-16 18:00'
37.535683,126.877972,0.1,16.8,61.5,990.3,'2016-04-16 18:00'
37.53665,126.828294,0.2,16.8,70.7,995.8,'2016-04-16 18:00'
37.522597,126.836344,0.2,16.7,70.2,996.3,'2016-04-16 18:00'
37.521222,126.85285,0.3,16.5,73.3,993.8,'2016-04-16 18:00'
37.519436,126.869261,0.2,16.8,66.7,996,'2016-04-16 18:00'
37.521078,126.8995,0.1,17.8,57.8,998.3,'2016-04-16 18:00'
37.529303,126.894875,0.1,16.9,63.3,992,'2016-04-16 18:00'
37.534806,126.902167,0.1,17.3,65.5,994,'2016-04-16 18:00'
37.492692,126.895667,0.1,17,61,995.4,'2016-04-16 18:00'
37.49905,126.896546,0.1,17.3,65.5,995.4,'2016-04-16 18:00'
37.512397,126.894007,0.2,17.2,62.7,996.6,'2016-04-16 18:00'
37.498057,126.907821,0.1,17.1,66,995.4,'2016-04-16 18:00'
37.500406,126.909931,0.1,17.1,65.2,997,'2016-04-16 18:00'
37.513869,126.926489,0.1,17.4,64.6,995.6,'2016-04-16 18:00'
37.5354,126.89754,0.2,17.3,63.9,995.6,'2016-04-16 18:00'
37.524167,126.9275,0.1,17.5,65.3,994,'2016-04-16 18:00'
37.519722,126.931111,0.1,17.4,63.8,995,'2016-04-16 18:00'
37.516726,126.907361,0.1,17.1,65.9,994.8,'2016-04-16 18:00'
37.525118,126.910418,0.1,17.4,64.5,995.4,'2016-04-16 18:00'
37.512826,126.910551,0.1,17.2,64.4,994.7,'2016-04-16 18:00'
37.547506,126.971399,0,17.4,65.2,995,'2016-04-16 18:00'
37.551336,126.962678,0.1,17.3,62.9,990.6,'2016-04-16 18:00'
37.520517,126.993669,0,17.7,63.4,997.4,'2016-04-16 18:00'
37.542369,126.988033,0,17.3,62.8,993.5,'2016-04-16 18:00'
37.537523,126.965002,0.1,17.5,62.7,995.8,'2016-04-16 18:00'
37.532881,126.955747,0.1,17.5,63,995.7,'2016-04-16 18:00'
37.518433,126.977144,0.1,17.6,56,997.2,'2016-04-16 18:00'
37.530111,126.968324,0,17.1,57.6,992.1,'2016-04-16 18:00'
37.535161,126.99785,0,16.9,65.3,988.7,'2016-04-16 18:00'
37.5493,126.979308,0,17,63.6,993.3,'2016-04-16 18:00'
37.613339,126.911118,0.1,17.1,61.6,994.9,'2016-04-16 18:00'
37.602401,126.935402,0.3,17,63.9,992.6,'2016-04-16 18:00'
37.624036,126.920211,0.1,15.8,62.4,993.7,'2016-04-16 18:00'
37.583531,126.891785,0.1,17,67.2,996,'2016-04-16 18:00'
37.590889,126.904917,0.1,17.2,66.7,995,'2016-04-16 18:00'
37.598301,126.913277,0.1,17.3,63.5,994.1,'2016-04-16 18:00'
37.606072,126.922348,0,17.5,65.3,996.1,'2016-04-16 18:00'
37.593445,126.920525,0.1,17.1,62.9,995.1,'2016-04-16 18:00'
37.594833,126.9175,0.1,17.6,60.7,996,'2016-04-16 18:00'
37.581306,126.9065,0.1,17.2,65.2,997.9,'2016-04-16 18:00'
37.579578,126.986836,0.1,17.7,60.2,996,'2016-04-16 18:00'
37.571689,126.961401,0.1,17,63.3,992.6,'2016-04-16 18:00'
37.608068,126.956412,0.1,16.6,61.8,986.8,'2016-04-16 18:00'
37.569817,126.978361,0,17,59.6,992.2,'2016-04-16 18:00'
37.576939,127.015897,0,16.2,57.9,995.3,'2016-04-16 18:00'
37.569917,127.005106,0,17.8,60,994.8,'2016-04-16 18:00'
37.584047,127.001903,0.1,17.6,53.5,994.5,'2016-04-16 18:00'
37.558932,126.974847,0,17.3,63.8,993,'2016-04-16 18:00'
37.556608,126.976139,0.1,16.8,64.1,987.9,'2016-04-16 18:00'
37.553446,127.01014,0.1,17.6,59.3,993.8,'2016-04-16 18:00'
37.565021,127.01279,0,17.5,59.5,993.6,'2016-04-16 18:00'
37.559724,127.006122,0,17.8,58.3,995.2,'2016-04-16 18:00'
37.566944,126.969722,0,17.2,64.7,992.2,'2016-04-16 18:00'
