STATION_LATITUDE,STATION_LONGITUDE,RAIN_LAST10MIN,TEMPERATURE_TC,HUMIDITY,PRESSURE_SURFACE,TIMEOBSERVATION
37.48316389,127.060325,0,17.4,67.2,995,2016-04-16 18:00
37.47913333,127.0445583,0,17.1,68.3,996.8,2016-04-16 18:00
37.51625,127.0359444,0.1,17.5,61.1,991.7,2016-04-16 18:00
37.51117861,127.0242314,0,17.4,64.2,994.5,2016-04-16 18:00
37.50334139,127.0586336,0.1,17.3,57,994.4,2016-04-16 18:00
37.50350833,127.0667333,0.1,17,59.2,996,2016-04-16 18:00
37.49596139,127.0529111,0.1,17.2,62.6,996.4,2016-04-16 18:00
37.49001389,127.034745,0.2,16.6,65.5,993.6,2016-04-16 18:00
37.5103937,127.0576884,0,18,59.6,995.8,2016-04-16 18:00
37.51223472,127.0530692,0.1,17.9,54.5,995.9,2016-04-16 18:00
37.51865,127.0507081,0,17.4,62.4,995.5,2016-04-16 18:00
37.46361139,127.1055631,0,17.1,69.2,998.2,2016-04-16 18:00
37.5226125,127.0201108,0,17.5,58.9,996.2,2016-04-16 18:00
37.52218056,127.0331,0,17.7,61.2,995.4,2016-04-16 18:00
37.50194833,127.0419586,0.1,17.2,65.1,990,2016-04-16 18:00
37.49724861,127.0444664,0.1,17.3,64.7,993.2,2016-04-16 18:00
37.49356389,127.0301556,0.1,17,62.9,992.7,2016-04-16 18:00
37.48945056,127.0825044,0.1,17.3,62.2,996.5,2016-04-16 18:00
37.52103056,127.0572889,0.1,17.5,63.1,993.6,2016-04-16 18:00
37.53788611,127.1396583,0,17.7,58.5,995.4,2016-04-16 18:00
37.55251222,127.1536294,0,17.2,56.1,994.1,2016-04-16 18:00
37.54848611,127.1726722,0,17.8,58.6,996.8,2016-04-16 18:00
37.52987778,127.1322694,0,17.8,60.3,996.8,2016-04-16 18:00
37.52232222,127.1328528,0,17.7,62.1,996.9,2016-04-16 18:00
37.55493333,127.1345556,0,17.7,58.5,995,2016-04-16 18:00
37.54902778,127.1266944,0,18.1,60.5,996.7,2016-04-16 18:00
37.54071111,127.128275,0,17.8,58.2,995.9,2016-04-16 18:00
37.544322,127.142105,0,17.6,59,995.1,2016-04-16 18:00
37.62590556,127.017525,0,17.4,63.9,992.9,2016-04-16 18:00
37.61153056,127.022375,0.1,17.7,61.3,991.9,2016-04-16 18:00
37.62036111,127.0213556,0,17.8,62.5,993.5,2016-04-16 18:00
37.62039833,127.0131611,0,17.5,66.8,990.2,2016-04-16 18:00
37.63458333,127.0223194,0,17.5,63,992.8,2016-04-16 18:00
37.662775,127.0132611,0.1,14.3,93,991.5,2016-04-16 18:00
37.56344444,126.8525944,0.1,17.1,68,995.2,2016-04-16 18:00
37.56119167,126.7976583,0.2,16.9,70.7,996.7,2016-04-16 18:00
37.55822778,126.8376944,0.3,17,68.2,996,2016-04-16 18:00
37.55272222,126.8367778,0.2,16.7,70.8,996.9,2016-04-16 18:00
37.56238889,126.8077528,0.2,16.3,70.9,995.7,2016-04-16 18:00
37.55394167,126.8190083,0.2,17,67.5,995.3,2016-04-16 18:00
37.55363889,126.8514556,0.1,17.1,67.3,995.5,2016-04-16 18:00
37.53061111,126.8493139,0.2,17.2,65.7,996.4,2016-04-16 18:00
37.54123333,126.8399333,0.2,17.2,62.3,996.1,2016-04-16 18:00
37.52883667,126.8533231,0.1,17.6,63.8,998.7,2016-04-16 18:00
37.54789444,126.8465472,0.1,17.1,69,995.4,2016-04-16 18:00
37.4625,126.9183333,0.3,16.6,64.4,991.8,2016-04-16 18:00
37.49194444,126.9255556,0.2,17.1,65.5,992.8,2016-04-16 18:00
37.47461083,126.9526206,0.2,16.1,71.1,991,2016-04-16 18:00
37.47630528,126.9664417,0.1,17.4,69,991.9,2016-04-16 18:00
37.48151111,126.9537083,0.1,17.2,66.4,993.5,2016-04-16 18:00
37.47774167,126.9335861,0.2,16.9,67.4,994.3,2016-04-16 18:00
37.48260583,126.9284606,0.2,16.5,62.9,992.9,2016-04-16 18:00
37.45793056,126.9537056,0.3,15.1,73.3,982.4,2016-04-16 18:00
37.4869,126.9137,0.1,17.2,67.9,996.4,2016-04-16 18:00
37.48533694,126.9367861,0.1,17.5,66,996.3,2016-04-16 18:00
37.48199806,126.9427264,0.2,16.8,70.5,993.8,2016-04-16 18:00
37.54910556,127.1082472,0,17.7,61.3,995.2,2016-04-16 18:00
37.55113861,127.0694511,0,18,56.9,997.3,2016-04-16 18:00
37.55290556,127.0885333,0.1,17.9,59.6,994.9,2016-04-16 18:00
37.54558167,127.0769508,0,17.7,58.9,995.3,2016-04-16 18:00
37.53618083,127.0831533,0,17.5,58.5,994.7,2016-04-16 18:00
37.5315,127.0749667,0,18.1,60.3,996.9,2016-04-16 18:00
37.53309167,127.0853806,0,17.8,54.1,995.9,2016-04-16 18:00
37.55988889,127.0743333,0,17.9,58.1,996.6,2016-04-16 18:00
37.56174167,127.0823472,0,17.6,58.8,996.8,2016-04-16 18:00
37.571225,127.0835028,0,17.7,56.6,996.7,2016-04-16 18:00
37.486087,126.855542,0.2,16.9,70.5,997.4,2016-04-16 18:00
37.49733056,126.8631139,0.2,17,71.4,994.1,2016-04-16 18:00
37.48413056,126.8942278,0.2,16.4,71.4,991.8,2016-04-16 18:00
37.50327639,126.8810975,0.2,17.3,64.6,994.9,2016-04-16 18:00
37.49945306,126.8727797,0.2,17.2,67.9,995.6,2016-04-16 18:00
37.49661111,126.8452194,0.4,17.2,63.5,993.9,2016-04-16 18:00
37.49113389,126.8250042,0.4,15.9,74.6,995.9,2016-04-16 18:00
37.46626417,126.8983219,0.3,16.9,64,995.3,2016-04-16 18:00
37.47598861,126.8990044,0.1,16.9,67.5,995.2,2016-04-16 18:00
37.43957778,126.9029417,0.3,16.7,66.7,997.3,2016-04-16 18:00
37.45176667,126.9082417,0.1,15.6,63.4,995.9,2016-04-16 18:00
37.45175778,126.9022036,0.3,16.8,69.3,995.6,2016-04-16 18:00
37.61876944,127.0776056,0,16.8,53.1,994.9,2016-04-16 18:00
37.62718611,127.0791111,0.2,17.4,63.2,994.2,2016-04-16 18:00
37.6282125,127.0713106,0.1,17.8,54.2,996.2,2016-04-16 18:00
37.66850278,127.0792528,0.1,15.6,85.9,992.5,2016-04-16 18:00
37.66384167,127.0684278,0,16.5,62.3,992.7,2016-04-16 18:00
37.66666861,127.0569456,0.1,17,75.4,995.2,2016-04-16 18:00
37.62169722,127.0595306,0,17.9,51.4,995.6,2016-04-16 18:00
37.62676111,127.0511611,0,17.4,58.3,993.7,2016-04-16 18:00
37.629075,127.0575806,0,17.3,60.7,994.8,2016-04-16 18:00
37.63925,127.0750917,0.1,16.8,63.8,992.3,2016-04-16 18:00
37.68560556,127.0457083,0.5,16.4,90.3,994.6,2016-04-16 18:00
37.66479167,127.0354583,0.1,17.4,67.1,995.1,2016-04-16 18:00
37.65059722,127.0362583,0.1,17.1,58.5,994.2,2016-04-16 18:00
37.63766111,127.0382778,0.1,17.6,63,996.2,2016-04-16 18:00
37.65320833,127.0518528,0,17.1,64.2,992.4,2016-04-16 18:00
37.65193611,127.0456944,0,16.8,68.4,994.5,2016-04-16 18:00
37.57808417,127.0300633,0,18.1,58.2,997.6,2016-04-16 18:00
37.574625,127.0379278,0.1,17.8,58.1,997.1,2016-04-16 18:00
37.57919444,127.0740694,0.1,17.5,51.8,997,2016-04-16 18:00
37.5619475,127.0652919,0.1,18,58.6,996.6,2016-04-16 18:00
37.58395,127.0535278,0,17.3,60.1,994.2,2016-04-16 18:00
37.57830083,127.0570625,0.1,18.1,58.6,997.3,2016-04-16 18:00
37.58603611,127.0370083,0,17,59.5,997.1,2016-04-16 18:00
37.59163889,127.0490944,0,17.7,58.8,995.4,2016-04-16 18:00
37.51405667,126.9448017,0.1,17.2,64.9,995,2016-04-16 18:00
37.49944444,126.9277778,0.1,17.2,67.5,994.3,2016-04-16 18:00
37.51248611,126.9548694,0.1,17.5,64.7,997,2016-04-16 18:00
37.4775,126.9811111,0.1,17,64.6,996.2,2016-04-16 18:00
37.50315639,126.9472792,0.1,17.2,48.1,996,2016-04-16 18:00
37.49472222,126.9583333,0.2,16.4,66.7,989.9,2016-04-16 18:00
37.55658333,126.9451556,0,17.1,61.4,991.4,2016-04-16 18:00
37.55805278,126.9049028,0,17.5,61.4,997,2016-04-16 18:00
37.55080833,126.9203194,0,17.6,60.4,996.6,2016-04-16 18:00
37.55450556,126.9159583,0.1,17.9,62.8,996.8,2016-04-16 18:00
37.54335806,126.9530728,0,17.1,63.8,987.9,2016-04-16 18:00
37.55026111,126.9327639,0,17.5,61.6,996,2016-04-16 18:00
37.57508056,126.9181111,0.1,17.4,65,995.4,2016-04-16 18:00
37.56613889,126.9461944,0.1,17.3,62.9,992.8,2016-04-16 18:00
37.58356111,126.9111611,0.1,16.4,64,995.3,2016-04-16 18:00
37.55868611,126.9600861,0.1,17.1,66.9,992.7,2016-04-16 18:00
37.57735556,126.9354508,0.1,17,66.6,994.5,2016-04-16 18:00
37.56556583,126.9291925,0.1,17.4,62.2,995,2016-04-16 18:00
37.55571389,126.9372861,0,17.1,58.1,992.6,2016-04-16 18:00
37.58200278,126.9261889,0.1,16.8,61.7,994.8,2016-04-16 18:00
37.591275,126.9404778,0.1,17.6,62.1,993,2016-04-16 18:00
37.59658611,126.9483278,0,17,65.2,994.8,2016-04-16 18:00
37.58612389,126.9464158,0.1,17.6,62.3,992.2,2016-04-16 18:00
37.46427222,127.0865558,0.1,16.7,64.7,993.6,2016-04-16 18:00
37.51036389,127.0201639,0.1,17.4,63.9,995.7,2016-04-16 18:00
37.50390333,127.0191758,0.1,17.9,62.1,997.7,2016-04-16 18:00
37.50221111,126.9866083,0.1,16.8,67.3,995.6,2016-04-16 18:00
37.48933222,126.9919967,0.1,16.5,63.8,996.1,2016-04-16 18:00
37.48648861,127.0206561,0,16.9,66.6,992,2016-04-16 18:00
37.48062222,127.012375,0.1,16.5,67.5,989.3,2016-04-16 18:00
37.48329722,127.0037,0,17.1,66.3,993.3,2016-04-16 18:00
37.4853575,127.0125456,0.1,17.3,63.8,992.6,2016-04-16 18:00
37.46236528,127.0348367,0,16.5,71.5,993.5,2016-04-16 18:00
37.46633056,127.0429,0.2,17.1,65.5,995.5,2016-04-16 18:00
37.50728611,127.0072889,0.1,17.1,61.3,997.8,2016-04-16 18:00
37.54797222,127.0204611,0.1,17.7,59.7,995,2016-04-16 18:00
37.56589167,127.0427556,0,17.7,59.9,995.1,2016-04-16 18:00
