STATION_ID,STATION_TYPE,STATION_LATITUDE,STATION_LONGITUDE,HEIGHT,SEA_LEVEL,SKY_CODE,PRECIPITATION_TYPE,PRECIPITATION_SINCEONTIME,RAIN_SINCEONTIME,RAIN_SINCEMIDNIGHT,RAIN_LAST10MIN,RAIN_LAST15MIN,RAIN_LAST30MIN,RAIN_LAST1HOUR,RAIN_LAST6HOUR,RAIN_LAST12HOUR,RAIN_LAST24HOUR,TEMPERATURE_TC,TEMPERATURE_TMAX,TEMPERATURE_TMIN,WIND_WDIR,WIND_WSPD,HUMIDITY,PRESSURE_SURFACE,PRESSURE_SEALEVEL,LIGHTNING,TIMEOBSERVATION
10001,BTN,37.4831638889,127.0603250000,6,51.975,SKY_A08,1,0.37,1.40,10.40,0.50,0.70,1.40,2.80,10.40,10.40,10.40,13.80,20.60,10.00,59.70,3.10,99.20,985.00,991.08,0,2016-04-16 22:29:00
10003,BTN,37.4791333333,127.0445583333,10,52.7971,SKY_A08,1,0.37,1.30,10.30,0.60,0.80,1.30,2.80,10.30,10.30,10.30,13.40,20.60,10.00,27.70,9.40,99.30,986.90,993.10,0,2016-04-16 22:29:00
10005,BTN,37.5162500000,127.0359444444,13,90.6047,SKY_A08,1,0.35,1.00,14.20,0.40,0.50,1.00,2.00,14.20,14.20,14.20,13.80,20.00,12.00,147.70,3.70,96.00,982.00,992.59,0,2016-04-16 22:29:00
10006,BTN,37.5111786111,127.0242313889,12,64.9704,SKY_A08,1,0.35,0.80,13.60,0.30,0.40,0.80,1.70,13.60,13.60,13.60,13.70,20.00,12.00,114.00,3.70,98.60,985.00,992.61,0,2016-04-16 22:29:00
10010,BTN,37.5033413889,127.0586336111,5,69.3319,SKY_A08,1,0.37,1.30,16.70,0.60,0.80,1.30,3.00,16.70,16.70,16.70,13.70,20.60,10.00,75.10,9.00,90.30,984.50,992.62,0,2016-04-16 22:29:00
10011,BTN,37.5035083333,127.0667333333,8,68.5106,SKY_A08,1,0.37,1.40,13.20,0.50,0.70,1.40,3.00,13.20,13.20,13.20,13.20,20.60,10.00,97.20,4.50,92.30,986.20,994.25,0,2016-04-16 22:29:00
10014,BTN,37.4959613889,127.0529111111,8,49.6575,SKY_A08,1,0.37,1.20,13.70,0.50,0.60,1.20,2.50,13.70,13.70,13.70,13.60,20.60,10.00,67.20,2.30,95.20,986.50,992.32,0,2016-04-16 22:29:00
10015,BTN,37.4900138889,127.0347450000,7,67.4729,SKY_A07,1,0.37,2.60,36.30,0.00,0.00,2.60,8.30,36.30,36.30,36.30,13.20,20.60,10.00,82.20,5.60,97.80,983.90,991.81,0,2016-04-16 22:29:00
10018,BTN,37.5103937000,127.0576884000,8,47.536,SKY_A08,1,0.35,1.50,14.30,0.60,0.70,1.50,2.90,14.30,14.30,14.30,13.90,20.00,12.00,68.00,1.00,96.80,986.00,991.68,0,2016-04-16 22:29:00
10019,BTN,37.5122347222,127.0530691667,8,60.4393,SKY_A08,1,0.35,1.20,15.80,0.50,0.60,1.20,2.70,15.80,15.80,15.80,14.10,20.00,12.00,225.20,1.10,88.90,986.00,993.08,0,2016-04-16 22:29:00
10021,BTN,37.5186500000,127.0507080556,7,62.8136,SKY_A08,1,0.35,1.10,14.80,0.40,0.60,1.10,2.30,14.80,14.80,14.80,13.70,20.00,12.00,111.70,2.20,97.30,985.80,993.16,0,2016-04-16 22:29:00
10022,BTN,37.4636113889,127.1055630556,9,33.6353,SKY_A08,1,0.39,2.00,17.90,0.80,1.20,2.00,4.60,17.90,17.90,17.90,13.60,20.70,10.40,156.40,2.60,98.10,988.70,992.65,0,2016-04-16 22:29:00
10023,BTN,37.5226125000,127.0201108333,15,54.6592,SKY_A08,1,0.35,0.90,14.80,0.40,0.50,0.90,2.10,14.80,14.80,14.80,13.50,20.00,12.00,86.60,5.40,96.40,986.90,993.32,0,2016-04-16 22:29:00
